Tabell P1M b.  Anmälda brott, efter brottstyp, ackumulerat under innevarande år, jämförelse med motsvarande period föregående år samt antal brott per 100 000 invånare, preliminär statistik, i hela landet, 2024.;;;;;
Lagrum;Brottstyp;Antal brott totalt, ackumulerat under jan-dec 2024;Förändring jämfört med motsvarande period 2023, i antal;Förändring jämfört med motsvarande period 2023, i procent;Antal brott per 100 000 invånare, ackumulerat under 2024
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 15-17 år, bekant med offret, inomhus;1 722 ; 137 ; 9 ; 16 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 15-17 år, obekant med offret; 512 ;- 36 ;- 7 ; 5 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 15-17 år, obekant med offret, utomhus; 345 ; 17 ; 5 ; 3 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot flicka 15-17 år, obekant med offret, inomhus; 167 ;- 53 ;- 24 ; 2 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 15-17 år;4 281 ;- 11 ;- 0 ; 41 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 15-17 år, bekant med offret;2 637 ;- 8 ;- 0 ; 25 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 15-17 år, bekant med offret, utomhus;1 123 ; 41 ; 4 ; 11 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 15-17 år, bekant med offret, inomhus;1 514 ;- 49 ;- 3 ; 14 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 15-17 år, obekant med offret;1 644 ;- 3 ;- 0 ; 16 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 15-17 år, obekant med offret, utomhus;1 243 ;- 22 ;- 2 ; 12 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot pojke 15-17 år, obekant med offret, inomhus; 401 ; 19 ; 5 ; 4 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot kvinna 18 år eller äldre;31 539 ;1 382 ; 5 ; 299 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot kvinna 18 år eller äldre, bekant med offret;25 483 ;1 240 ; 5 ; 242 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot kvinna 18 år eller äldre, bekant med offret, utomhus;3 897 ; 29 ; 1 ; 37 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot kvinna 18 år eller äldre, bekant med offret, inomhus;21 586 ;1 211 ; 6 ; 205 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot kvinna 18 år eller äldre, obekant med offret;6 056 ; 142 ; 2 ; 57 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot kvinna 18 år eller äldre, obekant med offret, utomhus;3 081 ; 114 ; 4 ; 29 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot kvinna 18 år eller äldre, obekant med offret, inomhus;2 975 ; 28 ; 1 ; 28 
3 kap. 5, 6 § BrB Misshandel inkl. grov;Mot man 18 år eller äldre;31 066 ; 551 ; 2 ; 294 
