Tabell P1M b.  Anmälda brott, efter brottstyp, ackumulerat under innevarande år, jämförelse med motsvarande period föregående år samt antal brott per 100 000 invånare, preliminär statistik, i hela landet, 2024.;;;;;
Lagrum;Brottstyp;Antal brott totalt, ackumulerat under jan-dec 2024;Förändring jämfört med motsvarande period 2023, i antal;Förändring jämfört med motsvarande period 2023, i procent;Antal brott per 100 000 invånare, ackumulerat under 2024
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Mot kvinna 18 år eller äldre, närstående genom parrelation; 69 ; 19 ; 38 ; 1 
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 9 ;- 4 ;- 31 ; 0 
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap; 97 ; 5 ; 5 ; 1 
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Mot kvinna 18 år eller äldre, obekanta; 62 ; 2 ; 3 ; 1 
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Mot man 18 år eller äldre; 27 ;- 10 ;- 27 ; 0 
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Mot man 18 år eller äldre, närstående genom parrelation; 3 ;- 1 ;- 25 ; 0 
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Mot man 18 år eller äldre, närstående genom släktskap/familj; 1 ;- ;- ; 0 
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Mot man 18 år eller äldre, annan sorts relation eller bekantskap; 11 ;- 5 ;- 31 ; 0 
6 kap. 2 § BrB Sexuellt övergrepp inkl. grovt ;Mot man 18 år eller äldre, obekanta; 12 ;- 4 ;- 25 ; 0 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Oaktsamt sexuellt övergrepp, totalt; 12 ;- 1 ;- 8 ; 0 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Mot flicka 15-17 år; 3 ; 3 ;. ; 0 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Mot pojke 15-17 år;- ;- 1 ;- 100 ;- 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Mot kvinna 18 år eller äldre; 6 ;- 4 ;- 40 ; 0 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Mot kvinna 18 år eller äldr, närstående genom parrelation; 2 ;- ;- ; 0 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 1 ; 1 ;. ; 0 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Mot kvinna 18 år eller äldre, annan sorts relation eller bekantskap; 1 ;- 4 ;- 80 ; 0 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Mot kvinna 18 år eller äldre, obekanta; 2 ;- 1 ;- 33 ; 0 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Mot man 18 år eller äldre; 3 ; 1 ; 50 ; 0 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Mot man 18 år eller äldre, närstående genom parrelation;- ;- 1 ;- 100 ;- 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Mot man 18 år eller äldre, närstående genom släktskap/familj;- ;- ;. ;- 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Mot man 18 år eller äldre, annan sorts relation eller bekantskap; 2 ; 1 ; 100 ; 0 
6 kap. 3 § BrB Oaktsamt sexuellt övergrepp ;Mot man 18 år eller äldre, obekanta; 1 ; 1 ;. ; 0 
6 kap. 5 § BrB Sexuellt utnyttjande av barn;Sexuellt utnyttjande av barn, totalt; 124 ; 15 ; 14 ; 1 
6 kap. 5 § BrB Sexuellt utnyttjande av barn;Av flicka under 15 år; 89 ; 14 ; 19 ; 1 
6 kap. 5 § BrB Sexuellt utnyttjande av barn;Av pojke under 15 år; 21 ;- 1 ;- 5 ; 0 
6 kap. 5 § BrB Sexuellt utnyttjande av barn;Av flicka 15-17 år; 8 ;- 3 ;- 27 ; 0 
6 kap. 5 § BrB Sexuellt utnyttjande av barn;Av pojke 15-17 år; 6 ; 5 ; 500 ; 0 
6 kap. 6 § BrB Sexuellt övergrepp mot barn;Sexuellt övergrepp mot barn, totalt; 869 ; 55 ; 7 ; 8 
6 kap. 6 § BrB Sexuellt övergrepp mot barn;Mot flicka under 15 år; 672 ; 77 ; 13 ; 6 
6 kap. 6 § BrB Sexuellt övergrepp mot barn;Mot pojke under 15 år; 168 ;- 28 ;- 14 ; 2 
6 kap. 6 § BrB Sexuellt övergrepp mot barn;Mot flicka 15-17 år; 17 ;- 3 ;- 15 ; 0 
6 kap. 6 § BrB Sexuellt övergrepp mot barn;Mot pojke 15-17 år; 12 ; 9 ; 300 ; 0 
6 kap. 7 § BrB Samlag med avkomling eller syskon;Samlag med avkomling eller syskon, totalt; 5 ; 1 ; 25 ; 0 
6 kap. 7 § BrB Samlag med avkomling eller syskon;Med flicka 15-17 år; 1 ;- ;- ; 0 
6 kap. 7 § BrB Samlag med avkomling eller syskon;Med pojke 15-17 år;- ;- ;. ;- 
6 kap. 7 § BrB Samlag med avkomling eller syskon;Med kvinna 18 år eller äldre; 3 ; 1 ; 50 ; 0 
6 kap. 7 § BrB Samlag med avkomling eller syskon;Med man 18 år eller äldre; 1 ;- ;- ; 0 
6 kap. 8 § BrB Utnyttjande av barn under 18 år för sexuell posering, inkl grov ;Utnyttjande av barn under 18 år för sexuell posering, totalt;1 775 ; 5 ; 0 ; 17 
6 kap. 9 § BrB Utnyttjande av barn under 18 år genom köp av sexuell handling.;Utnyttjande av barn under 18 år genom köp av sexuell handling.; 121 ; 20 ; 20 ; 1 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, totalt;9 984 ; 531 ; 6 ; 95 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot barn under 15 år;3 129 ; 218 ; 7 ; 30 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot flicka under 15 år;2 591 ; 147 ; 6 ; 25 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, pojke under 15 år; 538 ; 71 ; 15 ; 5 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot barn 15-17 år;1 334 ; 135 ; 11 ; 13 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot flicka 15-17 år;1 168 ; 88 ; 8 ; 11 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot pojke 15-17 år; 166 ; 47 ; 39 ; 2 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot person 18 år eller äldre;5 521 ; 352 ; 7 ; 52 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot kvinna 18 år eller äldre;4 935 ; 322 ; 7 ; 47 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot kvinna 18 år eller äldre, närstående genom parrelation; 357 ; 56 ; 19 ; 3 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot kvinna 18 år eller äldre, närstående genom släktskap/familj; 121 ; 41 ; 51 ; 1 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande,  mot kvinna 18 år eller äldrea, annan sorts relation eller bekantskap;1 412 ; 123 ; 10 ; 13 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande,  mot kvinna 18 år eller äldre, obekanta;3 045 ; 102 ; 3 ; 29 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot man 18 år eller äldre; 586 ; 30 ; 5 ; 6 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot man 18 år eller äldre, närstående genom parrelation; 19 ;- 2 ;- 10 ; 0 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot man 18 år eller äldre, närstående genom släktskap/familj; 11 ;- 5 ;- 31 ; 0 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot man 18 år eller äldre, annan sorts relation eller bekantskap; 183 ; 29 ; 19 ; 2 
6 kap. 10 § BrB Sexuellt ofredande;Sexuellt ofredande, mot man 18 år eller äldre, obekanta; 373 ; 8 ; 2 ; 4 
6 kap. 10 a § BrB Kontakt för att träffa ett barn i sexuellt syfte;Kontakt för att träffa ett barn i sexuellt syfte, totalt; 224 ; 5 ; 2 ; 2 
6 kap. 10 a § BrB Kontakt för att träffa ett barn i sexuellt syfte;Med flicka under 15 år; 175 ;- 10 ;- 5 ; 2 
6 kap. 10 a § BrB Kontakt för att träffa ett barn i sexuellt syfte;Med pojke under 15 år; 49 ; 15 ; 44 ; 0 
6 kap. 11 § BrB Köp av sexuell tjänst;Köp av sexuell tjänst, totalt;1 762 ; 285 ; 19 ; 17 
6 kap. 12 § BrB Koppleri, grovt koppleri;Koppleri, totalt; 203 ; 1 ; 0 ; 2 
7 kap. Brott mot familj;Brott mot familj, totalt;1 354 ;- 99 ;- 7 ; 13 
7 kap. 4 § BrB Egenmäktighet med barn;Egenmäktighet med barn;1 339 ;- 102 ;- 7 ; 13 
7 kap. 1-3 § BrB Övriga brott mot familj;Övriga brott; 15 ; 3 ; 25 ; 0 
8-12 kap. Brott mot förmögenhet;Brott mot förmögenhet, totalt;812 154 ;-54 665 ;- 6 ;7 697 
8 kap. Stöld, rån m.m.;Stöld, rån m.m. totalt;348 289 ;-32 432 ;- 9 ;3 301 
8 kap. 7 § BrB Tillgrepp av motordrivet fortskaffningsmedel;Tillgrepp av motordrivet fortskaffningsmedel, totalt;13 275 ;-2 698 ;- 17 ; 126 
8 kap. 7 § BrB Tillgrepp av motordrivet fortskaffningsmedel;Av bil;6 561 ;-1 321 ;- 17 ; 62 
8 kap. 7 § BrB Försök till tillgrepp av motordrivet fortskaffningsmedel;Av bil; 792 ;- 171 ;- 18 ; 8 
8 kap. 7 § BrB Fullbordat tillgrepp av motordrivet fortskaffningsmedel;Av bil, totalt;5 769 ;-1 150 ;- 17 ; 55 
8 kap. 7 § BrB Fullbordat tillgrepp av motordrivet fortskaffningsmedel;Av bil avsedd för yrkesmässig godsbefordran (Lastbil, släpfordon, järnvägsvagn eller lastbärare (container eller motsvarande); 785 ;- 194 ;- 20 ; 7 
8 kap. 7 § BrB Fullbordat tillgrepp av motordrivet fortskaffningsmedel;Av övriga bilar;4 984 ;- 956 ;- 16 ; 47 
8 kap. 7 § BrB Tillgrepp av motordrivet fortskaffningsmedel;Av motorcykel;1 374 ;- 270 ;- 16 ; 13 
8 kap. 7 § BrB Tillgrepp av motordrivet fortskaffningsmedel;Av  moped;2 843 ;- 817 ;- 22 ; 27 
8 kap. 7 § BrB Tillgrepp av motordrivet fortskaffningsmedel;Av båt; 725 ; 42 ; 6 ; 7 
8 kap. 7 § BrB Tillgrepp av motordrivet fortskaffningsmedel;Av annat fordon;1 772 ;- 332 ;- 16 ; 17 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld av icke motordrivet fortskaffningsmedel, totalt;62 933 ;-2 695 ;- 4 ; 596 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Av cykel;54 848 ;-2 923 ;- 5 ; 520 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Av elcykel;14 676 ;- 48 ;- 0 ; 139 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Av annan cykel än elcykel;40 172 ;-2 875 ;- 7 ; 381 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Av båt; 306 ;- 51 ;- 14 ; 3 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Av annat icke motordrivet fordon;7 779 ; 279 ; 4 ; 74 
8 kap. 1, 2, 4, 4 a § BrB Stöld inkl. grov, inbrottsstöld;Inbrottsstöld, inte av skjutvapen, totalt;63 279 ;-6 426 ;- 9 ; 600 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i skola, kyrka, idrottsanläggning och lokal för kultur, totalt;2 741 ;- 564 ;- 17 ; 26 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i skola, bibliotek, fritidshem, m.m.;1 590 ;- 625 ;- 28 ; 15 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i idrottsanläggning, kyrka, museum m.m.;1 151 ; 61 ; 6 ; 11 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i hotell, kafé, restaurang, biograf, teater, nöjes-, samlings- och ungdomslokal m.m.;2 004 ;- 303 ;- 13 ; 19 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i butik, apotek, kiosk m.m.,totalt;1 800 ;- 418 ;- 19 ; 17 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i butik, varuhus o.d.;1 497 ;- 410 ;- 21 ; 14 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i kiosk, automat och skyltskåp; 242 ; 11 ; 5 ; 2 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i apotek och läkemedelsförråd; 61 ;- 19 ;- 24 ; 1 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i industri, verkstad, byggplats, lager, garage, hamnområde, kontor m.m., totalt;14 483 ;-1 958 ;- 12 ; 137 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i kontor;1 860 ;- 436 ;- 19 ; 18 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i industri, verkstad, byggplats, lager, garage, hamnområde, ej i kontor;12 623 ;-1 522 ;- 11 ; 120 
8 kap. 1, 2, 4, 4 a § BrB Stöld inkl. grov, inbrottsstöld;Inbrottsstöld i bostad m.m., totalt;33 707 ;-1 601 ;- 5 ; 319 
8 kap. 4 a § BrB Inbrottsstöld;Inbrottsstöld i bostad ;10 420 ;- 392 ;- 4 ; 99 
8 kap. 4 a § BrB Inbrottsstöld;Inbrottsstöld i villa, radhus o.d., totalt;5 504 ;- 198 ;- 3 ; 52 
8 kap. 4 a § BrB Inbrottsstöld, fullbordat;Inbrottsstöld i villa, radhus o.d.;4 150 ;- 135 ;- 3 ; 39 
8 kap. 4 a § BrB Inbrottsstöld, försök;Inbrottsstöld i villa, radhus o.d.;1 354 ;- 63 ;- 4 ; 13 
8 kap. 4 a § BrB Inbrottsstöld;Inbrottsstöld i lägenhet, totalt;4 916 ;- 194 ;- 4 ; 47 
8 kap. 4 a § BrB Inbrottsstöld, fullbordat;Inbrottsstöld i lägenhet;3 548 ;- 34 ;- 1 ; 34 
8 kap. 4 a § BrB Inbrottsstöld, försök;Inbrottsstöld i lägenhet;1 368 ;- 160 ;- 10 ; 13 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i källare och på vind;20 142 ;-1 464 ;- 7 ; 191 
8 kap. 4 a § BrB Inbrottsstöld;Inbrottsstöld i fritidshus;2 627 ;- 263 ;- 9 ; 25 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld genom inbrott i övriga platser;8 544 ;-1 582 ;- 16 ; 81 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld (även inbrottsstöld) av skjutvapen ammunition och sprängämnen; 121 ; 5 ; 4 ; 1 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld (även inbrottsstöld) av skjutvapen ammunition och sprängämnen från militärt förråd/inom militärförläggning; 7 ; 3 ; 75 ; 0 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld (även inbrottsstöld) av skjutvapen ammunition och sprängämnen från skytteorganisation, vapenhandlare och sprängämnesförråd; 7 ; 1 ; 17 ; 0 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld (även inbrottsstöld) av skjutvapen ammunition och sprängämnen från bostad (lägenhet, villa) och fritidshus; 44 ;- 18 ;- 29 ; 0 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Stöld (även inbrottsstöld) av skjutvapen ammunition och sprängämnen från övriga platser; 63 ; 19 ; 43 ; 1 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Övrig stöld, totalt;188 421 ;-17 656 ;- 9 ;1 786 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Från fordon m.m.;44 673 ;-11 906 ;- 21 ; 423 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Ur och från motordrivet fordon, totalt;34 729 ;-11 782 ;- 25 ; 329 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Ur och från motordrivet fordon, av fast interiör/exteriör;15 690 ;-7 267 ;- 32 ; 149 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Ur och från motordrivet fordon, av andra föremål än fast interiör/exteriör;19 039 ;-4 515 ;- 19 ; 180 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Från cykel;4 408 ; 512 ; 13 ; 42 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Från båt (annat än båtmotor);1 772 ;- 158 ;- 8 ; 17 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Av båtmotor;1 064 ; 122 ; 13 ; 10 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Under yrkesmässig transport, totalt;2 700 ;- 600 ;- 18 ; 26 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Under yrkesmässig transport, avsedd för yrkesmässig godsbefordran (lastbil, släpfordon, järnvägsvagn, fartyg el lastbärare);1 058 ; 68 ; 7 ; 10 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Under yrkesmässig transport, avsedd för övrig yrkesmässig transport;1 642 ;- 668 ;- 29 ; 16 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Av drivmedel, totalt;3 780 ;-2 825 ;- 43 ; 36 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Av diesel;2 044 ;-1 815 ;- 47 ; 19 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Av diesel ur större fordonstank (även entreprenadmaskin m.m.);1 866 ;-1 753 ;- 48 ; 18 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Av diesel ur större tankar (ej kopplade till fordon); 178 ;- 62 ;- 26 ; 2 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Övrig stöld av drivmedel (även diesel), totalt;1 736 ;-1 010 ;- 37 ; 16 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Övrig stöld av drivmedel genom smitning (från bensinstation); 435 ;- 283 ;- 39 ; 4 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Övrig stöld av drivmedel, ej genom smitning;1 301 ;- 727 ;- 36 ; 12 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;I skola, kyrka, idrottsanläggning och lokal för kultur, totalt;10 530 ;1 055 ; 11 ; 100 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;I skola, bibliotek, fritidshem m.m.;5 549 ; 596 ; 12 ; 53 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;I idrottsanläggning, kyrka, museum m.m.;4 981 ; 459 ; 10 ; 47 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;I hotell, kafé, restaurang, biograf, teater, nöjes-, samlings- och ungdomslokal m.m.;7 461 ; 239 ; 3 ; 71 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;I butik, varuhus o.d.;43 397 ;-4 049 ;- 9 ; 411 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;I industri, verkstad, byggplats, lager, hamnområde, kontor m.m., totalt;4 479 ;- 310 ;- 6 ; 42 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;I kontor;1 295 ;- 113 ;- 8 ; 12 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;I industri, verkstad, byggplats, lager, hamnområde, ej i kontor;3 184 ;- 197 ;- 6 ; 30 
8 kap. 1, 2, 4, 4 a § BrB Stöld inkl. grov;I bostad m.m.;14 134 ;1 786 ; 14 ; 134 
8 kap. 1, 2, 4, 4 a § BrB Stöld inkl. grov;I bostad (lägenhet, villa), totalt;12 351 ;1 533 ; 14 ; 117 
8 kap. 1, 2, 4, 4 a § BrB Stöld inkl. grov;I bostad mot äldre eller funktionsnedsatt;5 399 ; 742 ; 16 ; 51 
8 kap. 1, 2, 4, 4 a § BrB Stöld inkl. grov;I bostad mot ej äldre eller funktionsnedsatt;6 952 ; 791 ; 13 ; 66 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;I källare och på vind;1 783 ; 253 ; 17 ; 17 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Väskryckning (inte rån), totalt; 767 ;- 111 ;- 13 ; 7 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Väskryckning mot äldre eller funktionsnedsatt; 146 ;- 40 ;- 22 ; 1 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Väskryckning mot ej äldre eller funktionsnedsatt; 621 ;- 71 ;- 10 ; 6 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Fickstöld, totalt;19 047 ;-1 147 ;- 6 ; 181 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Fickstöld mot äldre eller funktionsnedsatt;1 914 ; 56 ; 3 ; 18 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Fickstöld mot ej äldre eller funktionsnedsatt;17 133 ;-1 203 ;- 7 ; 162 
8 kap. 1, 2, 4 § BrB Stöld inkl. grov;Övrig stöld;40 153 ;- 388 ;- 1 ; 381 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån, totalt;4 774 ;-1 627 ;- 25 ; 45 
8 kap. 5, 6 § BrB Rån inkl. grovt;Bankrån, totalt; 2 ; 2 ;. ; 0 
8 kap. 5, 6 § BrB Rån inkl. grovt;Bankrån med användning av skjutvapen; 2 ; 2 ;. ; 0 
8 kap. 5, 6 § BrB Rån inkl. grovt;Bankrån utan användning av skjutvapen;- ;- ;. ;- 
8 kap. 5, 6 § BrB Rån inkl. grovt;Butiksrån, totalt; 226 ;- 135 ;- 37 ; 2 
8 kap. 5, 6 § BrB Rån inkl. grovt;Butiksrån med användning av skjutvapen; 20 ;- 24 ;- 55 ; 0 
8 kap. 5, 6 § BrB Rån inkl. grovt;Butiksrån utan användning av skjutvapen; 206 ;- 111 ;- 35 ; 2 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot värdebefordran, totalt; 1 ;- ;- ; 0 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot värdebefordran med användning av skjutvapen;- ;- ;. ;- 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot värdebefordran utan användning av skjutvapen; 1 ;- ;- ; 0 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot värdetransport, totalt;- ;- 1 ;- 100 ;- 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot värdetransport med användning av skjutvapen;- ;- ;. ;- 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot värdetransport utan användning av skjutvapen;- ;- 1 ;- 100 ;- 
8 kap. 5, 6 § BrB Rån inkl. grovt;Taxirån, totalt; 8 ;- 5 ;- 38 ; 0 
8 kap. 5, 6 § BrB Rån inkl. grovt;Taxirån med användning av skjutvapen; 2 ; 1 ; 100 ; 0 
8 kap. 5, 6 § BrB Rån inkl. grovt;Taxirån utan användning av skjutvapen; 6 ;- 6 ;- 50 ; 0 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, äldre eller funktionsnedsatt, totalt; 364 ;- 129 ;- 26 ; 3 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, äldre eller funktionsnedsatt, med användning av skjutvapen; 48 ;- 36 ;- 43 ; 0 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, äldre eller funktionsnedsatt, utan användning av skjutvapen; 316 ;- 93 ;- 23 ; 3 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, totalt;3 716 ;-1 165 ;- 24 ; 35 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, under 18 år, totalt; 971 ;- 476 ;- 33 ; 9 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, under 18 år utomhus, totalt; 852 ;- 438 ;- 34 ; 8 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt,  under 18 år utomhus med användning av skjutvapen; 53 ;- 12 ;- 18 ; 1 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, under 18 år utomhus utan användning av skjutvapen; 799 ;- 426 ;- 35 ; 8 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, under 18 år inomhus, totalt; 119 ;- 38 ;- 24 ; 1 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, under 18 år inomhus med användning av skjutvapen; 7 ;- 7 ;- 50 ; 0 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, under 18 år inomhus utan användning av skjutvapen; 112 ;- 31 ;- 22 ; 1 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, 18 år eller äldre, totalt;2 745 ;- 689 ;- 20 ; 26 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, 18 år eller äldre utomhus, totalt;2 195 ;- 608 ;- 22 ; 21 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, 18 år eller äldre utomhus med användning av skjutvapen; 221 ;- 80 ;- 27 ; 2 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, 18 år eller äldre utomhus utan användning av skjutvapen;1 974 ;- 528 ;- 21 ; 19 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, 18 år eller äldre inomhus, totalt; 550 ;- 81 ;- 13 ; 5 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, 18 år eller äldre inomhus med användning av skjutvapen; 74 ;- 33 ;- 31 ; 1 
8 kap. 5, 6 § BrB Rån inkl. grovt;Rån mot privatperson, ej äldre eller funktionsnedsatt, 18 år eller äldre inomhus utan användning av skjutvapen; 476 ;- 48 ;- 9 ; 5 
8 kap. 5, 6 § BrB Rån inkl. grovt;Övriga rån, totalt; 457 ;- 194 ;- 30 ; 4 
8 kap. 5, 6 § BrB Rån inkl. grovt;Övriga rån med användning av skjutvapen; 32 ;- 42 ;- 57 ; 0 
8 kap. 5, 6 § BrB Rån inkl. grovt;Övriga rån utan användning av skjutvapen; 425 ;- 152 ;- 26 ; 4 
8 kap. 8-10 § BrB Övriga brott mot 8 kap. ;Övriga brott mot 8 kap.;15 486 ;-1 335 ;- 8 ; 147 
9 kap. BrB Bedrägeri och annan oredlighet;Bedrägeri och annan oredlighet, totalt;229 742 ;-7 950 ;- 3 ;2 177 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Bedrägeri, bedrägligt beteende, totalt;213 840 ;-7 861 ;- 4 ;2 027 
9 kap. 1 §, 2 § 1 st., 3 §  BrB Bedrägeri inkl. grovt. ;Genom social manipulation, totalt;48 120 ; 654 ; 1 ; 456 
